Id,Company Name,IPO Status,Valuation $B,Valuation $B num,Funding $M,T#Founded,T#Date joined,Country,Headquarter,Category,Description,Website,Source,Years to be Unicorn,Founders,Investors,Estimated revenue,Female founders,Funding rounds,Last funding type
220,Ola Electric Mobility/ Ola Electric,Private,1,2,307.34,2017-05-26,2019-07-02,India,"Bengaluru, Karnataka, India",Auto & transportation,Ola is a mobility platform and ride-hailing company based in India.,http://www.olaelectric.in/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Anand Shah, Ankit Jain","SoftBank Group, Tiger Global Management, Matrix Partners India",-,No,5,Series B
221,Omio,Private,1,1,296,2012-03-01,2018-10-23,Germany,"Berlin, Berlin, Germany",Travel,"Omio is a search tool that allows to find the fastest, cheapest and best travel options.",https://www.omio.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Naren Shaam,"Lakestar, Battery Ventures, New Enterprise Associates",$1M to $10M,No,8,Series D
222,OneTrust,Private,2.7,1.2,410,2016-01-01,2019-07-11,United States,"Atlanta, Georgia, United States",Internet software & services,OneTrust is a privacy management and marketing compliance technology helping organizations comply with global regulations like GDPR.,http://www.onetrust.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Kabir Barday,Insight Partners,$50M to $100M,No,2,Series B
223,OpenDoor Labs/ Opendoor,Private,3.8,1,1480,2014-01-01,2016-11-30,United States,"San Francisco, California, United States",E-commerce & direct-to-consumer,Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling.,https://www.opendoor.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Eric Wu, Ian Wong, JD Ross, Keith Rabois","Norwest Venture Partners, New Enterprise Associates, Khosla Ventures",$10M to $50M,No,8,Series E
224,Orbbec Technology/ Orbbec,Private,1,1.2,200,2013-01-01,2018-05-21,China,"Shenzhen, Guangdong, China",Hardware,"The Orbbec mission is to create intelligent technologies for every human, everywhere through 3D image sensors and smart cameras.",http://www.orbbec3d.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Brad Long Liu, Huang Yuanhao, Joshua Blake, Luke Xiaolu Mei, Zhenzhong Xiao","R-Z Capital, Green Pine Capital Partners, SAIF Partners China",-,No,1,Series D
225,OrCam Technologies,Private,1,1.5,86.4,2010-01-01,2018-02-21,Israel,"Jerusalem, Yerushalayim, Israel",Artificial intelligence,OrCam harnesses the power of artificial vision in an intuitive portable device that compensates for lost visual abilities.,http://orcam.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Amnon Shashua, Ziv Aviram","Intel Capital, Aviv Venture Capital",$1M to $10M,No,4,Venture - Series Unknown
226,"Oscar 	  Health/ Oscar Health",Private,3.2,5.5,1490,2012-11-01,2015-04-20,United States,"New York, New York, United States",Health,"Oscar is a technology-focused health insurance company that employs technology, design, and data to humanize health care.",http://www.hioscar.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Joshua Kushner, Kevin Nazemi, Mario Schlosser","BoxGroup, Formation8, 	  Khosla Ventures",$50M to $100M,No,9,Venture - Series Unknown
227,Outreach,Private,1.33,1,289,2011-01-01,2019-04-16,United States,"Seattle, Washington, United States",Artificial intelligence,Outreach is a sales engagement platform that accelerates revenue growth by optimizing interactions throughout the customer lifecycle.,https://www.outreach.io/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Andrew Kinzer, Gordon Hempton, Manny Medina, Wes Hather","Mayfield Fund, M12, Trinity Ventures",$10M to $50M,No,9,Series F
228,OVO,Private,2.9,1.9,0,2017-01-01,2019-03-14,Indonesia,"Jakarta, Jakarta Raya, Indonesia",Fintech,OVO is one of the leading players in the digital payment sector.,https://www.ovo.id/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,-,"Grab, Tokopedia, Tokyo Century Corporation",-,No,1,Venture - Series Unknown
229,Oyo Rooms/ OYO,Private,10,10,3240,2012-01-01,2018-09-25,India,"Gurgaon, Haryana, India",Travel,OYO operates a branded network of hotels designed to offer standardized stay experiences.,http://www.oyorooms.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Ritesh Agarwal,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",$100M to $500M,No,16,Series F
230,Pat McGrath Labs,Private,1,1,60,2015-10-01,2018-07-13,United States,"New York, New York, United States",Consumer & retail,Pat McGrath Labs is a makeup brand created by Pat McGrath,https://www.patmcgrath.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,Pat McGrath,"One Luxury Group, Eurazeo",Less than $1M,Yes,2,Private Equity
231,Peloton,Public,IPO,1.07,994.71,2012-01-01,2017-05-24,United States,"New York, New York, United States",Consumer & retail,Peloton is reinventing fitness with live and on-demand boutique studio classes,http://www.onepeloton.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Graham Stanton, John Foley, Tom Cortese, Yony Feng","GGV Capital, Fidelity Management and Research Company, Fidelity, Wellington Management, L Catterton",$500M to $1B,No,8,Series F
232,Pendo,Private,1,1.5,208.25,2013-10-01,2019-10-17,United States,"Raleigh, North Carolina, United States",Internet software & services,Pendo is a product cloud creator for digital products and data-driven product teams.,http://www.pendo.io,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Eric Boduch, Erik Troan, Rahul Jain, Todd Olson","Contour Venture Partners, Battery Ventures, Core Capital Partners",$10M to $50M,No,8,Series E
233,Perfect Diary,Private,2,8.6,100,2015-01-01,2019-09-11,China,"Guangzhou, Guangdong, China",Other,Perfect Diary is an e-commerce-based cosmetic brand.,http://www.perfectdiary.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,David Huang,"Sequoia Capital China, Hillhouse Capital Management, CMC Capital Partners",-,No,2,Venture - Series Unknown
234,Pinduoduo,Public,IPO,9.09,3800,2015-09-01,2021-01-01,China,"Shanghai, Shanghai, China",Consumer & retail,"Pinduoduo is a Chinese e-commerce platform that allows users to participate in group buying deals, mostly through Tencentâ€™s Wechat app.",http://www.pinduoduo.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",0,Colin Huang,"Tencent Holdings, IDG Capital, Sequoia Capital China, Gaorong Capital, Hillhouse Capital Group",$1B to $10B,No,6,Post-IPO Equity
235,Podium,Private,1.5,3.65,217.62,2014-01-01,2020-04-07,United States,"Lehi, Utah, United States",Internet software & services,Podium is a customer communication platform for businesses who interact with customers on a local level.,https://www.podium.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Dennis Steele, Eric Rea","Accel, Summit Partners, Google Ventures",$100M to $500M,No,5,Series C
236,Poizon,Private,1,6,0,2015-01-01,2019-04-29,China,"Shanghai, Shanghai, China",Mobile & telecommunications,Poizon is a secondary sneaker market platform,https://poizon.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Yang Bing,"DST Global, Sequoia Capital China, Gaorong Capital",-,No,1,Series A
237,Pony.ai,Private,3,3.3,726,2016-01-01,2018-07-11,United States,"Fremont, California, United States",Artificial intelligence,Pony.ai is a startup that builds full-stack autonomous driving solutions.,https://www.pony.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"James Peng, Tiancheng Lou","Sequoia Capital China, IDG Capital, DCM Ventures",$10M to $50M,No,5,Series B
238,Postman,Private,2,5.4,208,2014-09-01,2020-06-11,United States,"San Francisco, California, United States",Internet software & services,Postman is the collaboration platform for API development.,http://www.postman.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Abhijit Kane, Abhinav Asthana, Ankit Sobti","Nexus Venture Partners, CRV, Insight Partners",$10M to $50M,No,4,Series C
239,Postmates,Exited Unicorn,M&A,1,903.01,2011-03-01,2018-09-18,United States,"San Francisco, California, United States","Supply chain, logistics, & delivery",Postmates is an on-demand food delivery company.,https://postmates.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Bastian Lehmann, Sam Street, Sean Plaice","BlackRock, Matrix Partners, Spark Capital, EquityZen, Founders Fund",$500M to $1B,No,13,Private Equity
240,Preferred Networks,Private,2,1.7,147.2,2014-03-26,2018-05-17,Japan,"Otemachi, Tokyo, Japan",Artificial intelligence,"Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.",https://preferred.jp/en/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Daisuke Okanohara, Daisuke Okanohara, Morikawa Hiroyuki, Toru Nishikawa","Toyota Motor Corporation, Mizuho Financial Group, FANUC",$10M to $50M,No,7,Corporate Round
241,Quanergy Systems,Private,2,1.5,135.31,2012-11-01,2016-08-24,United States,"Sunnyvale, California, United States",Auto & transportation,Quanergy offers LiDAR sensors and software to capture and process real-time 3D mapping data.,http://quanergy.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Louay Eldada, Tianyue Yu","Delphi Automotive, Samsung Ventures, Motus Ventures",$10M to $50M,Yes,6,Series C
242,QuintoAndar,Private,1,1,335.27,2014-01-01,2019-09-10,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil",E-commerce & direct-to-consumer,QuintoAndar is a platform that simplifies the rental of residential real estate for landlords and renters.,http://quintoandar.com.br,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Andre Penha, Gabriel Braga","Kaszek Ventures, General Atlantic, SoftBank Group",$10M to $50M,No,6,Series D
243,Qumulo,Private,1.2,7.5,347.3,2012-01-01,2020-07-16,United States,"Seattle, Washington, United States",Data management & analytics,Qumulo provides a file data platform for multi-cloud environments with large scale file data.,http://qumulo.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Aaron Passey, Neal Fachan, Peter Godman","Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners",$10M to $50M,No,7,Series E
244,Qutoutiao,Public,IPO,1.1,497,2016-06-01,2018-03-15,China,"Shanghai, Shanghai, China",Media & Entertainment,Qutoutiao is a news recommendation app with a focus on light reading with entertainment as its main content.,https://www.qutoutiao.net/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Eric Siliang Tan, Lei Li, Sihui Chen, Zhiliang Wang","Xiaomi, Tencent Holdings, Alibaba Group, Redpoint, CMC Capital Group",$100M to $500M,Yes,5,Post-IPO Debt
245,Rappi,Private,1,1.65,1390,2015-01-01,2018-08-31,Colombia,"BogotÃ¡, Distrito Especial, Colombia","Supply chain, logistics, & delivery",Rappi is an information technology company that specializes in providing an online marketplace for consumer goods.,http://www.rappi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Felipe Villamarin, Sebastian Mejia, Simon Borrero","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",$10M to $50M,No,9,Series E
246,Rapyd,Private,1.2,1,170,2016-01-01,2019-12-03,United Kingdom,"London, England, United Kingdom",Fintech,Rapyd is a fintech-as-a-Service platform that provide local payments network services.,https://www.rapyd.net/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Arik Shtilman,"Target Global, General Catalyst, Durable Capital Partners",$10M to $50M,No,4,Series C
247,Remitly,Private,1.5,1,505,2011-01-01,2020-07-29,United States,"Seattle, Washington, United States",Fintech,Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,http://www.remitly.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,"Joshua Hug, Matthew Oppenheimer, Shivaas Gulati","DN Capital, Threshold Ventures, Trilogy Equity Partners",$10M to $50M,No,11,Series F
248,Revolut,Private,5.5,2.3,916.95,2015-07-01,2018-04-26,United Kingdom,"London, England, United Kingdom",Fintech,"Revolut is a financial services company that specializes in mobile banking, card payments, money remittance, and foreign exchange.",http://www.revolut.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Nikolay Storonsky, Vlad Yatsenko","index Ventures, DST Global, Ribbit Capital",$50M to $100M,No,13,Series D
249,Revolution Precrafted/ Revolution,Private,1,1.2,15.4,2015-12-01,2017-10-23,Philippines,"Makati, Manila, Philippines",Other,"REVOLUTION is a collection of limited edition, pre-crafted properties, including pavilions and homes.",https://revolutionprecrafted.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,Robbie Antonio,"K2 Global, 500 Startups",$1M to $10M,No,2,Series B
250,RigUp,Private,1.9,7,452.5,2014-01-01,2019-09-30,United States,"Austin, Texas, United States",Internet software & services,RigUp is a marketplace for on-demand services and skilled labor in the energy industry.,http://rigup.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Michael Witte, Sandeep Jain, Xuan Yong","Founders Fund, Quantum Energy Partners, Bedrock Capital",$10M to $50M,No,7,Venture - Series Unknown
251,Ripple,Private,10,12.4,348.8,2012-01-01,2019-12-20,United States,"San Francisco, California, United States",Fintech,Ripple provides one frictionless experience to send money globally using the power of blockchain.,http://ripple.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Arthur Britto, Chris Larsen, Ryan Fugger","IDG Capital, Venture51, Lightspeed Venture Partners",$10M to $50M,No,14,Series C
252,Riskified,Private,1,1,228.65,2012-01-01,2019-11-05,United States,"Tel Aviv, Tel Aviv, Israel",Cybersecurity,Riskified designs an e-commerce fraud-prevention technology that turns fraud management into a growth engine for online retailers.,https://www.riskified.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Assaf Feldman, Eido Gal","Entree Capital, Genesis Partners, Qumra Capital",$10M to $50M,No,6,Series E
253,Rivigo,Private,1.07,4.8,257.37,2014-01-01,2019-07-11,India,"Gurgaon, Haryana, India","Supply chain, logistics, & delivery",Rivigo is a technology company that offers logistics services and solutions in India.,http://rivigo.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Deepak Garg, Gazal Kalra","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",$50M to $100M,Yes,10,Debt Financing
254,Ro,Private,1.5,1.3,376.1,2017-01-01,2020-07-27,United States,"New York, New York, United States",Health,"Ro is a telehealth startup that operates digital health clinics for menâ€™s and womenâ€™s health, along with smoking cessation.",https://www.ro.co/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Rob Schutz, Saman Rahmanian, Zachariah Reitano","Initialized Capital, General Catalyst, SignalFire",$100M to $500M,No,4,Series C
255,Robinhood,Private,8.6,3,1510,2013-01-01,2017-04-26,United States,"Menlo Park, California, United States",Fintech,"Robinhood is a stock brokerage that allows customers to buy and sell U.S. stocks, options, ETFs, and cryptocurrencies with zero commission.",https://www.robinhood.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Baiju Bhatt, Vlad Tenev","Google Ventures, Andreessen Horowitz, DST Global",$50M to $100M,No,13,Series F
256,Roivant Sciences,Private,9.09,1,1890,2014-05-01,2018-11-13,United States,"New York, New York, United States",Health,Roivant Sciences is a biopharmaceutical company focused on completing the development of promising late-stage drug candidates.,http://roivant.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Vivek Ramaswamy,"SoftBankGroup, Founders Fund",$10M to $50M,No,4,Private Equity
257,Root Insurance,Private,3.65,36,527.5,2015-03-01,2018-08-22,United States,"Columbus, Ohio, United States",Fintech,"Root Insurance is a property casualty insurtech that offers personalized, affordable coverage in an app.",https://joinroot.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alex Timm, Dan Manges","Tiger Global Management, Ribbit Capital, Redpoint Ventures",$10M to $50M,No,5,Series E
258,Royole Corporation,Private,6,1,1050,2012-01-01,2015-08-18,China,"Shenzhen, Guangdong, China",Hardware,"Royole Corporation is a global manufacturer of advanced flexible displays, flexible sensors, and smart devices.",http://www.royole.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Bill Liu,"Warmsun Holding, IDG Capital Partners",$10M to $50M,No,6,Series E
259,Rubrik,Private,3.3,3.6,553,2014-01-01,2017-04-28,United States,"Palo Alto, California, United States",Data management & analytics,Rubrik offers live data access for recovery and application development by fusing enterprise data management with web-scale IT.,http://rubrik.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Arvind Jain, Arvind Nithrakashyap, Bipul Sinha, Soham Mazumdar","Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",$100M to $500M,No,6,Secondary Market
260,Samsara Networks/ Samsara,Private,5.4,1.4,930,2015-01-01,2018-03-22,United States,"San Francisco, California, United States",Hardware,"Samsara is an IoT platform that combines hardware, software, and cloud to bring real-time visibility, analytics, and AI to operations.",http://www.samsara.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"John Bicket, Sanjit Biswas","Andreessen Horowitz, General Catalyst",$100M to $500M,No,7,Series F
261,Scale AI,Private,1,3,122.62,2016-06-01,2019-08-05,United States,"San Francisco, California, United States",Artificial intelligence,"Scale AI is the data platform for AI, providing high quality training data for leading machine learning teams.",https://scale.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alexandr Wang, Lucy Guo","Accel, Y Combinator, Index Ventures",$1M to $10M,Yes,5,Series C
262,Scopely,Private,1.7,1,658.7,2011-01-01,2019-10-29,United States,"Culver City, California, United States",Mobile & telecommunications,Scopely is a leading interactive entertainment and mobile games company.,http://www.scopely.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Ankur Bulsara, Eric Futoran, Eytan Elbaz, Walter Driver","Greycroft, Sands Capital, Revolution Growth",$10M to $50M,No,11,Series D
263,Segment,Private,1.5,5,283.72,2011-09-01,2019-04-02,United States,"San Francisco, California, United States",Data management & analytics,Segment provides the customer data infrastructure that helps businesses put their customers first.,http://segment.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Calvin French-Owen, Ian Storm Taylor, Ilya Volodarsky, Peter Reinhardt","Accel, Y Combinator, Thrive Capital",$50M to $100M,No,7,Series D
264,Seismic,Private,1,1,164.5,2011-06-01,2018-12-18,United States,"San Diego, California, United States",Internet software & services,Seismic offers a global sales and marketing enablement solution for improving close rates and delivering larger deals for sales.,http://seismic.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Douglas Winter, Ed Calnan, Fred Xie, Marc Romano, Nasser Barghouti","Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",$50M to $100M,No,4,Series E
265,SenseTime,Private,7.5,1,3260,2014-10-01,2017-07-11,China,"Beijing, Beijing, China",Artificial intelligence,SenseTime is an artificial intelligence company that focuses on innovative computer vision and deep learning technologies.,http://www.sensetime.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Bing Xu, Li Xu, Xiaogang Wang","Star VC, IDG Capital, Infore Capital, Alibaba Group",$10M to $50M,No,9,Series D
266,SentinelOne,Private,1.1,1,429.52,2013-01-01,2020-02-19,United States,"Mountain View, California, United States",Cybersecurity,"SentinelOne delivers autonomous endpoint protection that prevents, detects, and responds to attacks across all major vectors.",http://www.sentinelone.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Almog Cohen, Ehud Shamir, Tomer Weingarten","Granite Hill Capital Partners, Data Collective, Tiger Global Management",$100M to $500M,No,7,Series E
267,ServiceTitan,Private,1.65,4.9,325.96,2013-01-01,2018-11-14,United States,"Glendale, California, United States",Internet software & services,ServiceTitan is the service management software that helps leading home services businesses generate more leads and close more sales.,http://www.servicetitan.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Ara Mahdessian, Vahe Kuzoyan","Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",$50M to $100M,No,5,Series D
268,Shansong Express (FlashEx)/ FlashEX,Private,1,2,214,2014-01-01,2018-08-27,China,"Shanghai, Shanghai, China","Supply chain, logistics, & delivery",FlashEX provides short-distance and same-city logistics services.,http://www.ishansong.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Peng Xue,"Prometheus Capital, Matrix Partners China, JD Capital Management",-,No,5,Series D
269,Sila Nanotechnologies,Private,1,140,285,2011-01-01,2019-04-16,United States,"Alameda, California, United States",Other,Sila Nanotechnologies is a provider and manufacturer of revolutionary car batteries.,http://www.silanano.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Alex Jacobs, Gene Berdichevsky, Gleb Yushin","Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",$10M to $50M,No,3,Series E
270,Skydance Media,Private,2.3,5,275,2010-01-01,2020-02-11,United States,"Santa Monica, California, United States",Other,"Skydance Media create elevated, event-level entertainment for global audiences.",http://skydancemedia.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",11,David Ellison,"RedBird Capital Partners, CJ ENM, Tencent Holdings",$10M to $50M,No,2,Undisclosed
271,SmartNews,Private,1.2,3,180.29,2012-06-15,2019-08-05,Japan,"Tokyo, Tokyo, Japan",Mobile & telecommunications,SmartNews helps users find quality news beyond the filter bubble.,http://www.smartnews.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Kaisei Hamamoto, Ken Suzuki","Japan Post Capital, Globis Capital Partners, Atomico",$10M to $50M,No,5,Series E
272,SmileDirectClub,Public,IPO,1.3,439.5,2013-12-01,2018-10-10,United States,"Nashville, Tennessee, United States",Health,"SmileDirectClub offers home invisible aligners, a series of plastic aligners that gradually shift teeth into their desired position.",http://smiledirectclub.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Alex Fenkell, Jordan Katzman","Spark Capital, Kleiner Perkins, Align Technology, Clayton, Dubilier & Rice, Gin Lane",$500M to $1B,No,3,Private Equity
273,Snapdeal,Private,7,1,1780,2010-02-04,2014-05-21,India,"Gurgaon, Haryana, India",E-commerce & direct-to-consumer,"Snapdeal is India's largest no-frills, value-focused marketplace offering products across 600+ categories from 500,000+ strong seller base.",https://www.snapdeal.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Kunal Bahl, Rohit Bansal","SoftBankGroup, Blackrock, Alibaba Group",$10M to $50M,No,13,Venture - Series Unknown
274,Snowflake Computing/ Snowflake,Private,12.4,4,1410,2012-01-01,2018-01-25,United States,"San Mateo, California, United States",Data management & analytics,Snowflake provides a data warehouse as a service designed for the cloud.,https://www.snowflake.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Benoit Dageville, Marcin Zukowski, Thierry Cruanes","Redpoint Ventures,Iconiq Capital, Madrona Venture Group",$100M to $500M,No,8,Series G
275,Snyk,Private,1,1.16,252,2015-07-07,2020-01-21,United Kingdom,"London, England, United Kingdom",Cybersecurity,Snyk helps organizations find and fix vulnerabilities in open source dependencies and container images.,https://snyk.io,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Assaf Hefetz, Danny Grander, Guy Podjarny","BOLDstart Ventures, Google Ventures, Accel",$10M to $50M,No,6,Series C
276,SoFi,Private,4.8,1.5,2530,2011-08-01,2015-02-03,United States,"San Francisco, California, United States",Fintech,SoFi is a finance company that offers a range of lending and wealth management services.,http://www.sofi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Daniel Macklin, Ian Brady, James Finnigan, Michael Cagney","Baseline Ventures, DCM Ventures, Institutional Venture Partners",$100M to $500M,No,14,Secondary Market
277,Sonder,Private,1.3,1,529.55,2012-07-01,2019-07-11,United States,"San Francisco, California, United States",Travel,Sonder is a tech-driven hospitality company offering spaces built for travel and life in cities around the world.,https://www.sonder.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Francis Davidson, Lucas Pellan, Olivier Gareau","Structure Capital, Spark Capital, Greylock Partners",$10M to $50M,No,8,Series E
278,SouChe Holdings/ Souche,Private,3,1,1210,2012-12-01,2017-11-01,China,"Hangzhou, Zhejiang, China",E-commerce & direct-to-consumer,Souche provides new and second-hand car trading services.,http://www.souche.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Junhong Yao,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",$1M to $10M,No,9,Series F
279,SoYoung Technology,Public,IPO,5,229,2013-01-01,2019-06-03,China,"Beijing, Beijing, China",Health,SoYoung Technology is a provider of digital services and technology advances.,http://www.soyoung.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Jin Xing, Kimsung Jin","Tencent Holdings, Matrix Partners China, Trustbridge Partners, CDH Investments, Apax Digital",$10M to $50M,No,6,Series E
280,StockX,Private,1,2.3,160.23,2015-03-01,2019-06-26,United States,"Detroit, Michigan, United States",E-commerce & direct-to-consumer,StockX is an online marketplace for buying and selling limited edition and high demand sneakers.,https://stockx.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Dan Gilbert, Josh Luber","Google Ventures, Battery Ventures, DST Global",$10M to $50M,No,5,Venture - Series Unknown
281,Stripe,Private,36,2,1640,2010-01-01,2014-01-23,United States,"San Francisco, California, United States",Fintech,Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.,https://stripe.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"John Collison, Patrick Collison","Khosla Ventures, LowercaseCapital, capitalG",$100M to $500M,No,12,Series G
282,Sumo Logic,Private,1,1.19,340,2010-01-01,2019-05-08,United States,"Redwood City, California, United States",Data management & analytics,"Sumo Logic, a log management and analytics service, transforms big data into sources of operations, security, and compliance intelligence.",http://www.sumologic.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,Christian Beedgen,"Greylock Partners, Sutter Hill Ventures, Accel",$10M to $50M,No,6,Series G
283,Swiggy,Private,3.6,5,1630,2014-08-01,2018-06-21,India,"Bangalore, Karnataka, India","Supply chain, logistics, & delivery",Swiggy offers an on-demand food delivery platform that brings food from neighborhood restaurants directly to users' doors.,https://www.swiggy.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Accel India, SAIF Partners, Norwest Venture Partners",$50M to $100M,No,12,Series I
284,Symphony Communication Services,Private,1.4,1,461,2014-09-30,2017-05-16,United States,"Palo Alto, California, United States",Internet software & services,Leading secure team collaboration platform.,http://www.symphony.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,David Gurle,"BNP Paribas, Goldman Sachs, Google",$50M to $100M,No,5,Series E
285,TalkDesk,Private,3,2.3,267.45,2011-01-01,2018-10-03,United States,"San Francisco, California, United States",Internet software & services,Talkdesk offers an enterprise contact center platform helps support and sales teams for customer satisfaction and cost savings.,http://talkdesk.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Cristina Fonseca, Tiago Paiva","DJF, Salesforce Ventures, Storm Ventures",$10M to $50M,Yes,7,Series C
286,TechStyle Fashion Group,Private,1,1.2,336,2010-02-01,2014-08-29,United States,"El Segundo, California, United States",E-commerce & direct-to-consumer,TechStyle is a global membership fashion commerce company focused on reimagining the global fashion business.,https://techstylefashiongroup.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Adam Goldenberg, Don Ressler","Matrix Partners, Passport 	  Capital, Rho Ventures",$100M to $500M,No,7,Venture - Series Unknown
287,Tempus,Private,5,1.8,620,2015-01-01,2018-03-21,United States,"Chicago, Illinois, United States",Health,Tempus is a technology company advancing precision medicine through the practical application of artificial intelligence in healthcare.,https://www.tempus.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Eric Lefkofsky,"New Enterprise Associates, T. Rowe Associates, Lightbank",$100M to $500M,No,9,Series G
288,Terminus Technologies,Private,1,2.25,529.56,2015-01-01,2018-10-25,China,"Beijing, Beijing, China",Hardware,Terminus Technologies is a city-level AI+IoT platform operator in China.,http://www.terminusgroup.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Victor Ai,"China Everbright Limited, IDG Capital, iFLYTEK",-,No,3,Series C
289,The RealReal,Public,IPO,4.5,357.97,2011-03-01,2019-03-22,United States,"San Francisco, California, United States",Consumer & retail,The RealReal is the leader in authenticated luxury consignment.,http://www.therealreal.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,Julie Wainwright,"500 Startups, Canaan Partners, 14W, e.ventures, Greycroft",$10M to $50M,Yes,10,Series H
