Id,Company Name,IPO Status,Valuation $B,Valuation $B num,Funding $M,T#Founded,T#Date joined,Country,Headquarter,Category,Description,Website,Source,Years to be Unicorn,Founders,Investors,Estimated revenue,Female founders,Funding rounds,Last funding type
111,Formlabs,Private,1.06,2.77,103.7,2011-01-01,2018-08-01,United States,"Somerville, Massachusetts, United States",Hardware,Formlabs develops powerful and accessible 3D printing systems designed for printing intricate figures.,http://www.formlabs.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"David Cranor, Maxim Lobovsky, Natan Linder","Pitango Venture Capital, DFJ Growth Fund, Foundry Group",$100M to $500M,No,7,Series D
112,Freshworks,Private,3.5,1,484,2010-01-01,2018-07-31,United States,"San Mateo, California, United States",Internet software & services,Freshworks provides businesses with SaaS customer engagement solutions.,https://www.freshworks.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Girish Mathrubootham, Shan Krishnasamy, Vijay Shankar","Accel, Tiger Global Management, capitalG",$50M to $100M,No,9,Secondary Market
113,Futu Holdings,Delisted,IPO,1.2,285.5,2012-01-01,2021-01-01,Hong Kong,"Hong Kong, Hong Kong Island, Hong Kong",Fintech,Futu Holdings offers an online brokerage platform that enables individual investors to trade in listed stocks.,https://www.futuholdings.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",0,Leaf Li,"Tencent Holdings, Matrix Partners China, General Atlantic, Sequoia Capital China",$10M to $50M,No,4,Private Equity
114,FXiaoKe,Private,1,1,283,2011-12-01,2015-07-02,China,"Beijing, Beijing, China",Mobile & telecommunications,FXiaoKe is a Chinese provider of mobile management software for sales teams.,https://www.fxiaoke.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Luo Xu,"IDG Capital, Northern Light Venture Capital, DCM Ventures",$10M to $50M,No,8,Corporate Round
115,Geek+,Private,1,10,439.44,2015-01-01,2018-11-21,China,"Beijing, Beijing, China",Hardware,Geek+ is a logistics and warehousing robotics developer.,http://www.geekplus.com.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Hongbo LI, Kai Liu, Xi Chen, Yong Zheng","Volcanics Ventures, Vertex Ventures China, Warburg Pincus",$10M to $50M,No,6,Series C
116,Gett,Private,1.5,2.8,913,2010-01-01,2018-06-07,Israel,"Tel Aviv, Tel Aviv, Israel",Auto & transportation,Gett is a SaaS global ground travel platform manages the entire ride-booking experience for businesses from booking to invoicing.,http://www.gett.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Dave Waiser, Roi More","Volkswagen, Access Industries, Vostok New Ventures",$10M to $50M,No,11,Venture - Series Unknown
117,GitLab,Private,2.77,14.3,436.2,2014-01-01,2018-09-19,United States,"San Francisco, California, United States",Internet software & services,GitLab is a web-based open source Git repository manager with wiki and issue tracking features and built-in CI/CD.,http://about.gitlab.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Dmitriy Zaporozhets, Sytse Sijbrandij","Google Ventures, ICONIQ Capital, Khosla Ventures",$10M to $50M,No,8,Series E
118,Globality,Private,1,3.2,172.25,2015-01-01,2019-01-22,United States,"Menlo Park, California, United States",Artificial intelligence,Globality revolutionizes how businesses buy and sell services by matching the best provider at the right price for every project.,http://www.globality.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Joel Hyatt, Lior Delgo, Ran Harpaz",SoftBank Group,$10M to $50M,No,4,Series D
119,Glossier,Private,1.2,1.95,186.4,2010-01-01,2019-03-19,United States,"New York, New York, United States",Consumer & retail,Glossier is a direct-to-consumer beauty company that leverages content and community to power a superior shopping experience.,https://www.glossier.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,Emily Weiss,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital",$10M to $50M,Yes,5,Series D
120,Glovo,Private,1,3.5,513.12,2015-03-01,2019-12-19,Spain,"Barcelona, Catalonia, Spain","Supply chain, logistics, & delivery","Glovo is a courier service that purchases, picks up, and delivers products ordered through its mobile application.",http://www.glovoapp.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Gerard Olive, Miguel Vicente, Oscar Pierre, Sacha Michaud","IDInvest Partners, Seaya Ventures, Lakestar",$50M to $100M,No,9,Series E
121,Go-Jek/ Gojek,Private,10,1,4840,2010-10-12,2016-08-04,Indonesia,"Jakarta, Jakarta Raya, Indonesia","Supply chain, logistics, & delivery","Gojek is a Super App that provides a variety of services from payments, food delivery, transportation and logistics .",https://www.gojek.io/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Kevin Aluwi, Michaelangelo Moran, Nadiem Makarim","Formation Group, Sequoia Capital India, Warburg Pincus",$10M to $50M,No,10,Series F
122,GoodRx,Private,2.8,5.5,1.5,2011-01-01,2018-08-06,United States,"Santa Monica, California, United States",Health,GoodRx believes prescription drugs should be affordable and convenient for everyone.,https://www.goodrx.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Doug Hirsch, Scott Marlette, Trevor Bezdek","Silver Lake Partners, SV Angel, Upfront Ventures",$50M to $100M,No,3,Private Equity
123,Grab,Private,14.3,9,9950,2012-06-01,2014-12-04,Singapore,"Midview City, Central Region, Singapore",Auto & transportation,"Grab is a super app that provides transportation, logistics and financial services.",https://www.grab.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Anthony Tan, Tan Hooi Ling","GGV Capital, Vertex Venture 	  Holdings, Softbank Group",$1B to $10B,Yes,29,Series I
124,Grail,Private,3.2,1,2000,2015-01-01,2017-03-01,United States,"Menlo Park, California, United States",Health,Grail develops a pan-cancer screening test designed to detect cancer early.,https://www.grail.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Alex Aravanis, Jeff Huber","Kleiner Perkins Caufield & Byers, Amazon, Merck & Co.",$50M to $100M,No,4,Series D
125,Graphcore,Private,1.95,3.8,460,2016-01-01,2018-12-18,United Kingdom,"Bristol, Bristol, City of, United Kingdom",Artificial intelligence,Graphcore is a semiconductor company that develops accelerators for AI and machine learning.,https://www.graphcore.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Nigel Toon, Simon Knowles","Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",$1M to $10M,No,5,Series D
126,Greensill/ Greensill Capital,Private,3.5,1,1710,2011-01-01,2018-07-16,United Kingdom,"London, England, United Kingdom",Fintech,Greensill Capital is a provider of structured working capital financing to businesses globally.,http://www.greensill.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Jason Austin, Lex Greensill","SoftBank Group, General Atlantic",$100M to $500M,No,3,Venture - Series Unknown
127,Grove Collaborative,Private,1,5.1,212.26,2012-01-01,2019-09-06,United States,"San Francisco, California, United States",E-commerce & direct-to-consumer,Grove Collaborative offers a direct-to-consumer ecommerce platform for natural home and personal care products.,http://www.grove.co/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Chris Clark, Jordan Savage, Stuart Landesberg","MHS Capital, NextView Ventures, Mayfield Fund",$100M to $500M,No,7,Series D
128,GuaHao (We Doctor)/ WeDoctor,Private,5.5,1.16,1020,2010-01-01,2015-09-22,China,"Xiaoshan, Zhejiang, China",Health,WeDoctor is the world's leading medical health technology platform.,https://www.guahao.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Liao Jieyuan,"Tencent, Morningside Group",$10M to $50M,No,9,Series F
