Id,Company Name,IPO Status,Valuation_$B,Valuation_$B_num,Funding $M,Founded,Date_joined,Country,Headquarter,Category,Description,Website,Source,Years_to_be_Unicorn,Founders,Investors,Estimated_revenue,Female_founders,Funding_rounds,Last_funding_type
167,Lightricks,Private,1,1,205,1/1/2013,7/31/2019,Israel,"Jerusalem, Yerushalayim, Israel",Artificial intelligence,"Lightricks integrates advanced technologies from computer vision, computer graphics, and image processing into mobile products.",http://www.lightricks.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Amit Goldstein, Itai Tsiddon, Nir Pochter, Yaron Inger, Zeev Farbman","Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",$50M to $100M,No,4,Series C
168,Lilium Aviation/ Lilium,Private,1,1,376.4,1/1/2015,6/9/2020,Germany,"WeÃŸling, Bayern, Germany",Other,"Lilium developing an all-electric, vertical take-off and landing aircraft for regional air mobility.",https://lilium.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Daniel Wiegand, Matthias Meiner, Patrick Nathen, Sebastian Born","Freigeist Capital, Obvious Ventures, Atomico",-,No,5,Venture - Series Unknown
169,LinkDoc Technology,Private,1,1,150.78,1/1/2014,7/5/2018,China,"Beijing, Beijing, China",Health,"LinkDoc Technology Limited is a leading oncology big data company, based in Beijing, China.",https://www.linkdoc.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Shan He, Tony Zhang","China Investment Corporation, New Enterprise Associates",$100M to $500M,Yes,3,Series D
170,Liquid/ Liquid Global,Private,1,1.02,123,5/1/2014,4/3/2019,Japan,"Tokyo, Tokyo, Japan",Fintech,Liquid Global is a developer of a cryptocurrency trading platform designed to provide liquidity to the crypto economy.,https://www.liquid.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Kayamori Kariya, Mario Gomez Lozada, Mike Kayamori, Tanaka Masaaki","JAFCO Co, Bitmain Technologies, IDG Capital",$1M to $10M,No,6,Series C
171,Loft,Private,1,1,263,8/1/2018,1/3/2020,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil",E-commerce & direct-to-consumer,"Loft develops a real-estate platform intended to buy, sell, and rent residential and commercial properties.",https://www.loft.com.br/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Florian Hagenbuch, Gustavo D. Saraiva, Kristian Huber, Marcus Vinicius Grigoletto, Mariana Paixao, Mate Pencz","Monashees+, Andreessen Horowitz, QED Investors",$100M to $500M,Yes,3,Series C
172,Loggi,Private,1,1,310,6/20/2013,6/5/2019,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil","Supply chain, logistics, & delivery",Loggi is a Brazil-based shipping logistics platform.,https://www.loggi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Arthur Debert, Eduardo Wexler, Fabien Mendez","Qualcomm Ventures, SoftBank Group. Monashees+",$10M to $50M,No,8,Series E
173,Luoji Siwei,Private,1.17,1.57,144.18,1/1/2012,7/20/2017,China,"Beijing, Beijing, China",Edtech,"Luoji Siwei, a China-based talk show, provides a mobile app which allows users to subscribe to learn from key opinion leaders (KOLs)",https://www.igetget.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Zhenyu Luo,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",-,No,5,Series C
174,Mafengwo,Private,2,3,503,1/1/2010,5/23/2019,China,"Beijing, Beijing, China",Travel,Mafengwo is a Chinese travel SNS website that enables users to share travel experiences with each other.,http://www.mafengwo.cn,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,"Gang Chen, Gang Lv","Qiming Venture Partners, Capital Today, General Atlantic",$1M to $10M,No,5,Series E
175,Magic Leap,Private,6.3,1,2980,1/1/2011,10/21/2014,United States,"Plantation, Florida, United States",Hardware,Magic Leap is a proprietary wearable technology that enables users to interact with digital devices in a completely visually cinematic way.,http://magicleap.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Brian Schowengerdt, Rony Abovitz","Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",$100M to $500M,No,10,Venture - Series Unknown
176,Maimai,Private,1,2.1,300,1/1/2013,11/15/2017,China,"Beijing, Beijing, China",Mobile & telecommunications,Maimai is a China-based career and social-networking platform.,http://maimai.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Fan Lin,"Morningside Venture Capital, IDG Capital, DCM Ventures",-,No,4,Series D
177,Marqeta,Private,4.3,1.57,528,1/1/2010,5/21/2019,United States,"Oakland, California, United States",Fintech,Marqeta provides infrastructure and tools to help companies build and manage payment programs.,https://www.marqeta.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,Jason Gardner,"83North, Granite Ventures, CommerzVentures",$10M to $50M,No,9,Private Equity
178,Medlinker,Private,1,10,247.24,1/1/2014,7/31/2018,China,"Beijing, Beijing, China",Health,Medical Alliance is a post of physician social service platform.,http://medlinker.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Shirui Wang,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",$1M to $10M,No,4,Series D
179,Meero,Private,1,2.7,293.43,1/1/2016,6/18/2019,France,"Paris, Ile-de-France, France",Artificial intelligence,Meero is an AI company providing enhanced photography services.,https://www.meero.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Guillaume Lestrade, Thomas Rebaud","Aglae Ventures, Global Founders Capital, Alven Capital",$50M to $100M,No,5,Series C
