Id,Company Name,IPO Status,Valuation_$B,Valuation_$B_num,Funding $M,Founded,Date_joined,Country,Headquarter,Category,Description,Website,Source,Years_to_be_Unicorn,Founders,Investors,Estimated_revenue,Female_founders,Funding_rounds,Last_funding_type
276,Turo,Private,1,4,467.4,1/1/2010,7/17/2019,United States,"San Francisco, California, United States",E-commerce & direct-to-consumer,Turo is a car sharing marketplace where guests can book any car they want.,https://turo.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,Shelby Clark,"August Capital, Google Ventures, Shasta Ventures",$10M to $50M,No,12,Series E
277,TuSimple,Private,1,1.4,298.07,1/1/2015,2/13/2019,United States,"San Diego, California, United States",Artificial intelligence,TuSimple is a self-driving truck company developing technology that allows them to drive from depot-to-depot without human intervention.,http://www.tusimple.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Jianan Hao, Mo Chen, Xiaodi Hou","Sina Weibo Fund, Zhiping Capital, Composite Capital Partners",$10M to $50M,No,7,Corporate Round
278,UBTech Robotics,Private,5,1.1,940,1/1/2012,7/26/2016,China,"Shenzhen, Guangdong, China",Hardware,UBTech Robotics is as an artificial intelligence and humanoid robotic company.,http://www.ubtrobot.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Zhou Jian,"CDH Investments, Goldstone Investments, Qiming Venture Partners",$50M to $100M,No,4,Series C
279,Udaan,Private,2.3,3.35,899.92,1/1/2016,9/3/2018,India,"Bangalore, Karnataka, India","Supply chain, logistics, & delivery","Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform.",https://udaan.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Amod Malviya, Sujeet Kumar, Vaibhav Gupta","DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",$10M to $50M,No,5,Venture - Series Unknown
280,Udemy,Private,2,7.8,223,2/1/2010,2/19/2020,United States,"San Francisco, California, United States",Edtech,"Udemy is an online learning destination that helps students, companies, and governments gain the skills to compete in todayâ€™s economy.",http://www.udemy.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",11,"Eren Bali, Gagan Biyani, Oktay Caglar","MHS Capital, Insight Partners, Norwest Venture Partners",$10M to $50M,No,9,Series E
281,Unisound,Private,1.19,2,301.44,1/1/2012,7/19/2018,China,"Beijing, Beijing, China",Artificial intelligence,Beijing Yunzhisheng Information Technology is a mobile internet startup focused on intelligent voice and speech processing technologies.,http://www.unisound.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Huang Wei, Jiaen Liang, Zhao Yiyang","Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures",$10M to $50M,No,7,Series D
282,United Imaging Healthcare,Private,5,1,503.49,1/1/2011,9/14/2017,China,"Shanghai, Shanghai, China",Health,United Imaging Healthcare develops and manufactures medical equipment and solutions.,http://www.united-imaging.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Daniel Mou,"China Life Insurance, China Development Bank Capital, CITIC Securities International",$100M to $500M,No,1,Series A
283,Upgrade,Private,1,2.5,202,1/1/2016,6/17/2020,United States,"San Francisco, California, United States",Fintech,Upgrade is a neobank that offers affordable and responsible credit to mainstream consumers.,http://www.upgrade.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Adelina Grozdanova, Jeff Bogan, Matt Wierman, Renaud Laplanche, Soul Htite, Visar Nimani","Union Square Ventures, Ribbit Capital, VY Capital",$10M to $50M,Yes,5,Series D
284,Uptake/ Uptake Technologies,Private,2.3,1,218,7/1/2014,10/27/2015,United States,"Chicago, Illinois, United States",Artificial intelligence,Uptake Technologies designs and develops enterprise software.,http://www.uptake.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,Bradley Keywell,"Revolution, New Enterprise Associates, Caterpillar",$100M to $500M,No,4,Series D
285,VAST Data,Private,1.2,1.2,180,1/1/2016,4/16/2020,United States,"New York, New York, United States",Data management & analytics,VAST Data is a storage company bringing an end to complex storage tiering and HDD usage in the enterprise.,http://www.vastdata.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Jeff Denworth, Renen Hallak, Shachar Fienblit","Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",$10M to $50M,No,4,Series C
286,Verkada,Private,1.8,1,138.9,1/1/2016,1/29/2020,United States,"San Mateo, California, United States",Cybersecurity,"Verkada is an IoT platform that combines plug-and-play security cameras with intelligent, cloud-based software.",https://www.verkada.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Benjamin Bercovitz, Filip Kaliszan, James Ren","next47, First Round Capital, Sequoia Capital",$50M to $100M,No,4,Series C
287,Via Transportation/ Via,Private,2.25,6.6,587.06,6/26/2012,3/30/2020,United States,"New York, New York, United States",Auto & transportation,Via is a re-engineering public transit company that develops and provides on-demand public mobility solutions for commuters.,http://www.ridewithvia.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Daniel Ramot, Oren Shoval","83North, RiverPark Ventures, Pitango Venture Capital",$10M to $50M,No,5,Series E
288,VIPKID,Private,4.5,2.25,1060,1/1/2013,8/23/2017,China,"Beijing, Beijing, China",Edtech,VIPKid connects teachers in North America with children around the world for real-time English immersion learning online,https://www.vipkid.com.cn,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Cindy Mi, Jessie Chen, Victor Zhang","Sequoia Capital China, Tencent Holdings, Sinovation Ventures",$500M to $1B,Yes,10,Series E
289,Viva Republica (Toss)/ Toss,Private,2.2,3,261.2,1/1/2011,12/10/2018,South Korea,"Seoul, Seoul-t'ukpyolsi, South Korea",Fintech,Toss is a Korea-based mobile finance platform.,http://toss.im,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,Seunggun Lee,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",$10M to $50M,No,9,Series F
290,VTS,Private,1,,187.36,1/1/2012,5/7/2019,United States,"New York, New York, United States",Internet software & services,"VTS is a real estate CRM software company bringing together landlords, brokers, and tenants to make deals happen.",http://www.vts.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Brandon Weber, Donald DeSantis, Karl Baum, Niall Smart, Nicholas Romito, Ryan Masiello","Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners",$50M to $100M,No,8,Series D
291,WalkMe,Private,1,,307.5,1/1/2011,9/20/2018,United States,"San Francisco, California, United States",Internet software & services,"WalkMeâ€™s pioneering Digital Adoption Platform provides software users with guidance, engagement, insights and automation.",http://www.walkme.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Dan Adika, Eyal Cohen, Rephael Sweary","Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital",$100M to $500M,No,9,Series G
292,"Warby 	  Parker/ Warby Parker",Private,1.2,,290.5,1/1/2010,4/30/2015,United States,"New York, New York, United States",E-commerce & direct-to-consumer,Warby Parker is a lifestyle brand that offers designer eyewear at a revolutionary price operating as a socially conscious business.,http://www.warbyparker.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Andrew Hunt, David Gilboa, Jeffrey Raider, Neil Blumenthal","BoxGroup, Felicis Ventures, 	  First Round Capital",$10M to $50M,No,7,Series E
293,Wefox Group,Private,1.65,,268.5,1/1/2015,12/11/2019,Germany,"Berlin, Berlin, Germany",Fintech,"wefox Group is an tech company that connects insurance providers, distributors, and customers.",https://www.wefoxgroup.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Dario Fazlic, Fabian Wesemann, Jonathan Seoane, Julian Teicke, Teodoro Martino","Salesforce Ventures, Seedcamp, OMERS Ventures",$10M to $50M,No,5,Series B
294,WeLab,Private,1,,581,1/1/2013,11/8/2017,Hong Kong,"Sheung Wan, Hong Kong Island, Hong Kong",Fintech,WeLab is a Hong Kong-based fintech company offering virtual banking and consumer financing solutions.,http://www.welab.co,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Aananth Solaiyappan, Frances Kang, Kelly Wong, Simon Loong","Sequoia Capital China, ING,	Alibaba Entrepreneurs Fund",$100M to $500M,Yes,8,Series C
295,WeMakePrice,Private,2.33,,397.09,5/1/2010,9/9/2015,South Korea,"Seoul, Seoul-t'ukpyolsi, South Korea",E-commerce & direct-to-consumer,Wemakeprice (ìœ„ë©”í”„) is a Korean social commerce platform offering e-commerce and internet advertising services.,http://www.wemakeprice.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Huh Min,"IMM Investment, NXC",$100M to $500M,No,3,Venture - Series Unknown
296,Wildlife Studios,Private,1.3,,60,4/4/2011,12/5/2019,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil",Other,Wildlife Studios is a mobile gaming company that develops games that will mark a generation.,http://www.wildlifestudios.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Arthur Lazarte, Victor Lazarte","Benchmark, Bessemer Venture Partners",$10B+,No,1,Series A
297,Wish,Private,11.2,,1630,1/1/2010,5/18/2015,United States,"San Francisco, California, United States",E-commerce & direct-to-consumer,"Wish is shopping app, putting a digital shopping mall of affordable goods directly in the pockets of consumers worldwide.",http://wish.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Danny Zhang, Peter Szulczewski","Founders Fund, GGV Capital, Digital Sky Technologies",$10M to $50M,No,10,Series H
298,WM Motor,Private,5,,1600,1/1/2015,3/8/2019,China,"Shanghai, Shanghai, China",Auto & transportation,WM Motor is an emerging energy vehicle product and travel solution provider.,http://www.wm-motor.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Freeman Shen, Napoleon Du","Baidu Capital, Linear Venture, Tencent",$10M to $50M,No,4,Series C
299,Xiaohongshu,Private,3,,417.69,1/1/2013,3/31/2016,China,"Shanghai, Shanghai, China",E-commerce & direct-to-consumer,"Xiaohongshu is a young lifestyle sharing platform to share positive energy and good life through the sharing of text, pictures and video.",https://www.xiaohongshu.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Charlwin Mao Wenchao, Miranda Qu","GGV Capital, ZhenFund, Tencent",$500M to $1B,Yes,7,Series D
300,XiaoZhu/ Xiaozhu.com,Private,1,,571.6,1/1/2012,11/1/2017,China,"Beijing, Beijing, China",Travel,Xiaozhu.com is a platform for online communication and transactions for landlords and tenants.,http://www.xiaozhu.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Chi Chen, Liantao Wang","Morningside Ventures, Capital Today, JOY Capital",$10M to $50M,No,10,Series F
301,XPeng Motors,Private,4,,2190,1/1/2014,8/2/2018,China,"Guangzhou, Guangdong, China",Auto & transportation,Xiaopeng Motors is an electric vehicle and technology company that designs and manufactures smart cars.,https://www.xiaopeng.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Tao He, Wei Xia, Xiaopeng He","Morningside Venture Capital, Foxconn Technology Company, Alibaba Group",$100M to $500M,No,7,Series C
302,"Yello 	  Mobile/ Yello Mobile",Private,4,,187.2,8/1/2012,11/11/2014,South Korea,"Seoul, Seoul-t'ukpyolsi, South Korea",Mobile & telecommunications,"Yello Mobile is a mobile business platform operating in shopping, media content, marketing & advertising, travel, and O2O business.",http://yellomobile.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,Sanghyuk Lee,Formation 8,$100M to $500M,No,4,Convertible Note
303,Yidian Zixun,Private,1.4,,178.2,7/1/2013,10/17/2017,China,"Beijing, Beijing, China",Mobile & telecommunications,Yidian Zixun is an interest-oriented mobile news aggregator.,http://www.yidianzixun.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Jeff Zheng, Xuyang Ren","Phoenix New Media, Tianjin Haihe Industry Fund",-,No,4,Series E
304,Yijiupi (???)/ Yijiupi,Private,1.1,,511.36,9/1/2014,9/20/2018,China,"Wuhu, Anhui, China",Consumer & retail,Yijiupi is an e-commerce company that is restructuring the beverage supply chain.,https://www.yijiupi.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Sheng Qiang Chen, Shi Tao","Source Code Capital, Meituan Dianping, Tencent Holdings",$500M to $1B,No,7,Series D
305,Yitu Technology,Private,2.37,,411.8,1/1/2012,3/8/2018,China,"Shanghai, Shanghai, China",Artificial intelligence,"YITU Technology integrates state-of-the-art AI technologies with industrial applications to build a safer, faster and healthier world.",http://www.yitutech.com/en/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Lin Chenxi, Zhu Long","Sequoia Capital China, Banyan Capital",$10M to $50M,No,12,Venture - Series Unknown
306,You & Mr Jones,Private,1.3,,550,6/1/2015,11/19/2019,United States,"New York, New York, United States",Other,You & Mr Jones is a platform that creates and distributes content which helps businesses build their brands.,http://www.youandmrjones.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"David Jones, Jean-Marc Antoni",Undisclosed,$50M to $100M,No,2,Series B
307,Youxia Motors,Private,3.35,,1330,1/1/2014,4/2/2018,China,"Minhang, Shanghai, China",Auto & transportation,Youxia Motors designs and manufactures electric vehicles.,http://www.youxiamotors.com/english.php,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Will Lee,"China Environmental Protection Industry, China Fortune Ocean",-,No,4,Series B
308,Yuanfudao,Private,7.8,,1540,3/1/2012,5/31/2017,China,"Beijing, Beijing, China",Edtech,Yuanfudao provides live courses and tutoring through an online platform.,https://www.yuanfudao.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Shuai Ke, Xin Li, Yong Li","Tencent Holdings, Warbug Pincus, IDG Capital",$10M to $50M,No,8,Series G
309,Zenefits,Private,2,,583.6,6/17/2013,5/6/2015,United States,"San Francisco, California, United States",Fintech,"Zenefits delivers a complete, all-mobile HR experience for small and medium businesses.",http://www.zenefits.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Laks Srini, Parker Conrad","SV Angel,Institutional Venture Partners, Venrock",$100M to $500M,No,4,Series C
310,Zhaogang/ Zhaogang.com,Private,1,,380.71,1/1/2012,6/29/2017,China,"Yangpu, Hainan, China",E-commerce & direct-to-consumer,Zhaogang.com is a website that is specialized in steel trading information services for buyers and suppliers.,http://www.zhaogang.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Dong Wang,"K2 Ventures, Matrix Partners China, IDG Capital",$500M to $1B,No,8,Series F
311,Zhihu,Private,2.5,,892.35,1/26/2011,1/12/2017,China,"Beijing, Beijing, China",Internet software & services,Zhihu is a Chinese social network platform dedicated to questioning and answering.,http://www.zhihu.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Jixin Huang, Shenshen Li, Victor Zhou","Tencent Holdings, Sinovation Ventures, Qiming Venture Partners",$10M to $50M,No,7,Series F
312,Zhuan Zhuan/ Zhuanzhuan,Private,1,,500,11/1/2015,4/18/2017,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Zhuanzhuan is an online marketplace on which users can buy and sell secondhand goods.,http://www.zhuanzhuan.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,-,"58.com, Tencent Holdings",$1M to $10M,No,2,Series B
313,Zipline International/ Zipline,Private,1.2,,233,1/1/2011,5/20/2019,United States,"Half Moon Bay, California, United States","Supply chain, logistics, & delivery","Zipline designs, manufactures, and operates drones to deliver vital medical products to everyone, no matter where they live.",http://flyzipline.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Keenan Wyrobek, Keller Rinaudo, Will Hetzler","Sequoia Capital, Baillie Gifford & Co., Google Ventures",$10M to $50M,No,6,Series D
314,ZipRecruiter,Private,1,,219,3/1/2010,10/4/2018,United States,"Santa Monica, California, United States",Artificial intelligence,"ZipRecruiter is an online employment marketplace, connecting millions of employers and job seekers through mobile and email services.",http://www.ziprecruiter.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Ian Siegel, Joe Edmonds, Ward Poulos, Willis Redd","Basepoint Ventures,Industry Ventures, and Institutional Venture Partners",$10M to $50M,No,2,Series B
315,Ziroom,Private,6.6,,2120,10/18/2011,1/17/2018,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Ziroom is an rental services company provides home rental and property management services.,http://www.ziroom.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Lin Xiong,"Sequoia Capital China, Warburg Pincus, General Catalyst",$1M to $10M,No,4,Secondary Market
316,Zume Pizza,Private,2.25,,423,9/8/2015,11/1/2018,United States,"Mountain View, California, United States",Consumer & retail,Zume Pizza is a food delivery company that operates an automated pizza delivery platform.,http://www.zumepizza.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alex Garden, Julia Collins","Softbank Group, AME Cloud Ventures, SignalFire",$50M to $100M,Yes,7,Venture - Series Unknown
317,Zuoyebang,Private,3,,1340,1/1/2014,7/18/2018,China,"Beijing, Beijing, China",Edtech,Zuoyebang is an online education startup that provides tutoring services for primary and secondary students.,https://www.zybang.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Hou Jianbin,"Sequoia Capital China, Xiang He Capital, GGV Capital",$10B+,No,5,Series E
